,0
Credit_Score,0.35190398556911634
Missed_Payments,0.21460369928145412
Late_Payments,0.20209077382332394
Debt_to_Income_Ratio,0.049499145205545034
EMI,0.025036031186357558
Monthly_Income,0.022188686229021353
Monthly_Expenses,0.017064002077576232
Account_Balance,0.013692939151324676
Loan_Amount,0.013535130256053044
Transaction_Amount,0.012879190605447222
Average_Transaction_Value,0.01018254519319665
Age,0.008823083488285886
Customer_Satisfaction,0.006904941055216217
Days_Since_Transaction,0.006775541537642528
Existing_Loans,0.006765904048856515
ATM_Usage,0.005104537471339583
Occupation_enc,0.004550530648095139
Support_Calls,0.004408766209996368
Transaction_Count,0.004142327627696282
Branch_Visits,0.003997690635447012
Tenure_Years,0.0037531757881335676
Complaints,0.0035615825818390108
Number_of_Products,0.002317827473817989
Account_Type_enc,0.0017187228179833737
Gender_enc,0.001545072150295088
Credit_Card_Usage,0.0012702407891499485
Online_Banking_Usage,0.0007602656988478494
Mobile_Banking_Usage,0.000594187847417127
Debit_Card_Usage,0.00032947355152426077
